Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Beta","Alpha","Net Profit Margin","PB Ratio"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","35234.84696216","358.75","-256.16028325815995",,,"-5.251182518200678","6.248775770598794"
Embassy Office Parks REIT,EMBASSY,"Real Estate","35165.909971557","376.79","50.35570984686335",,"-1.8288236224053","27.0857816614888","1.2979669698397782"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","34549.00443756","730.65","-273.3523572874438","1.38909551296121","-2.70017347787008","-1.9429191595594868","6.342967903760359"
Gujarat Fluorochemicals Ltd,FLUOROCHEM,"Specialty Chemicals","34540.1355","3166.25","-157.91219997256877",,"62.1615741402972","-7.67048443319143","9.928321907472082"
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","34529.486436705","946.05","46.70564917720141","1.07403938434921","18.4568984845541","35.30833301493906","3.6854488711562645"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","34175.99613217","15864.05","49.48094822882913","0.235365680694649","21.3494809754977","15.72996091935176","13.133702820798877"
Shriram Transport Finance Company Ltd,SRTRANSFIN,"Consumer Finance","34172.05014616","1233.2","13.675220061452766","1.41678174305717","-9.14274147584223","14.331111926773872","1.5734951343450305"
Tube Investments of India Ltd,TIINDIA,"Cycles","34074.12749568","1796.5","119.00715107460158","1.6837134799975","44.1129555693433","4.622000671539643","13.587529656337352"
Yes Bank Ltd,YESBANK,"Private Banks","33698.891920695","13.7","-9.65883193672971","1.34069749527886","-34.1646854260195","-14.86203211107461","1.0169170443222937"
Persistent Systems Ltd,PERSISTENT,"Software Services","33190.87395","4296.25","73.64621006035308","0.793916588873372","60.8029481412469","10.491519347434407","11.872243129553919"
Union Bank of India Ltd,UNIONBANK,"Public Banks","32772.61409947","48","11.445349619148619","1.36270541637928","-21.1252215643015","3.4411506042383415","0.5062363763761102"
Vodafone Idea Ltd,IDEA,"Telecom Services","32614.666787399998","11.3","-0.7373362207803656","1.1035564817833","20.8312193200972","-99.07450337429981","-0.8531617345244323"
Relaxo Footwears Ltd,RELAXO,"Footwear","32406.43729851","1310.3","111.14843359346283","0.49936283310022","34.1784605325045","12.240545442332229","20.609406769551203"
